# Frequency list

# Corpus: decow16b
# Query:  "[eE]in" "[bB]i(ss|ß)chen" [tag="ADJ.*|N.*"] 548922

# Frequency limit: 0


Lemma	Frequency	
eine bisschen Öl	479	
eine bisschen gewöhnungsbedürftig	478	
eine bisschen Englisch	478	
eine bisschen Urlaub	471	
eine bisschen Stress	467	
eine bisschen unangenehm	465	
eine bisschen Humor	459	
eine bisschen Bluna	459	
eine bisschen neu	455	
eine bisschen Verständnis	455	
eine bisschen ärgerlich	450	
eine bisschen kühl	450	
eine bisschen günstig	448	
eine bisschen Freizeit	448	
eine bisschen ängstlich	444	
eine bisschen kreativ	440	
eine bisschen Recht	435	
eine bisschen Wärme	430	
eine bisschen weich	428	
eine bisschen Schlaf	426	
eine bisschen gefährlich	424	
eine bisschen grün	423	
eine bisschen krass	422	
eine bisschen frei	421	
eine bisschen freundlich	417	
eine bisschen ignorant	413	
eine bisschen Kraft	411	
eine bisschen Kultur	403	
eine bisschen Training	401	
eine bisschen kritisch	399	
eine bisschen schief	398	
eine bisschen gesund	398	
eine bisschen chaotisch	394	
eine bisschen breit	394	
eine bisschen krank	393	
eine bisschen interessant	393	
eine bisschen offen	386	
eine bisschen aufwendig	385	
eine bisschen Gas	382	
eine bisschen mager	381	
eine bisschen Mitleid	381	
eine bisschen blass	380	
eine bisschen feucht	378	
eine bisschen fest	377	
eine bisschen enttäuschend	377	
eine bisschen Kreativität	377	
eine bisschen Wahrheit	376	
eine bisschen Schiss	373	
eine bisschen eifersüchtig	370	
eine bisschen Recherche	370	
eine bisschen schräg	369	
eine bisschen recht	369	
eine bisschen deutlich	368	
eine bisschen faul	365	
eine bisschen Stimmung	365	
eine bisschen kitschig	364	
eine bisschen Schwung	364	
eine bisschen persönlich	363	
eine bisschen Kleingeld	355	
eine bisschen problematisch	354	
eine bisschen intensiv	345	
eine bisschen schwarz	343	
eine bisschen stressig	342	
eine bisschen wild	340	
eine bisschen trocken	340	
eine bisschen stutzig	335	
eine bisschen ernst	334	
eine bisschen spannend	333	
eine bisschen Vertrauen	333	
eine bisschen kompliziert	332	
eine bisschen altmodisch	331	
eine bisschen wirr	330	
eine bisschen Nachdenken	330	
eine bisschen DC	328	
eine bisschen konkret	324	
eine bisschen Text	324	
eine bisschen Panik	319	
eine bisschen Gefühl	319	
eine bisschen scharf	316	
eine bisschen positiv	315	
eine bisschen Leid	315	
eine bisschen Sex	311	
eine bisschen unübersichtlich	310	
eine bisschen Pause	310	
eine bisschen dürftig	309	
eine bisschen Feedback	308	
eine bisschen nachdenklich	301	
eine bisschen Entspannung	300	
eine bisschen Rücksicht	299	
eine bisschen sicher	298	
eine bisschen arrogant	298	
eine bisschen streng	295	
eine bisschen Futter	294	
eine bisschen lieb	293	
eine bisschen schlimm	291	
eine bisschen gemütlich	291	
eine bisschen Eis	291	
eine bisschen Bedenken	290	
eine bisschen Obst	289	
eine bisschen fies	288	
eine bisschen Theorie	288	
eine bisschen Salz	288	
eine bisschen Geschichte	287	
eine bisschen Verstand	285	
eine bisschen nass	283	
eine bisschen Fußball	280	
eine bisschen bekannt	278	
eine bisschen befremdlich	277	
eine bisschen eigen	276	
eine bisschen leer	275	
eine bisschen Neid	275	
eine bisschen ungewohnt	273	
eine bisschen heiß	273	
eine bisschen kaputt	272	
eine bisschen extrem	272	
eine bisschen Romantik	272	
eine bisschen platt	270	
eine bisschen dämlich	270	
eine bisschen Wissen	270	
eine bisschen ungewöhnlich	269	
eine bisschen Ironie	269	
eine bisschen Sand	267	
eine bisschen Trost	266	
eine bisschen Smalltalk	266	
eine bisschen Fingerspitzengefühl	266	
eine bisschen flott	263	
eine bisschen eklig	263	
eine bisschen froh	262	
eine bisschen Eigeninitiative	262	
eine bisschen Gras	261	
eine bisschen eigenartig	260	
eine bisschen realistisch	259	
eine bisschen Sicherheit	259	
eine bisschen Nachhilfe	259	
eine bisschen Schwund	257	
eine bisschen einsam	256	
eine bisschen Dampf	256	
eine bisschen voll	255	
eine bisschen Ähnlichkeit	254	
eine bisschen Zucker	254	
eine bisschen ironisch	253	
eine bisschen Ärger	252	
eine bisschen Interesse	252	
eine bisschen Grün	252	
eine bisschen Klarheit	251	
eine bisschen rumgespielt	250	
eine bisschen aktiv	250	
eine bisschen Dreck	250	
eine bisschen Alkohol	250	
eine bisschen entspannt	249	
eine bisschen flexibel	247	
eine bisschen Abenteuer	247	
eine bisschen Erholung	246	
eine bisschen happig	244	
eine bisschen empfindlich	244	
eine bisschen düster	244	
eine bisschen Vorsicht	244	
eine bisschen wichtig	243	
eine bisschen unruhig	241	
eine bisschen spannender	241	
eine bisschen mühsam	241	
eine bisschen Aufregung	240	
eine bisschen Unterhaltung	239	
eine bisschen Fleisch	238	
eine bisschen Fett	237	
eine bisschen hilflos	236	
eine bisschen offtopic	234	
eine bisschen lahm	234	
eine bisschen zickig	233	
eine bisschen cool	231	
eine bisschen witzig	229	
eine bisschen sportlich	229	
eine bisschen aufgeregt	229	
eine bisschen Lob	229	
eine bisschen zäh	227	
eine bisschen Aufwand	227	
eine bisschen verarscht	226	
eine bisschen fremd	226	
eine bisschen Gesellschaft	226	
eine bisschen Ablenkung	226	
eine bisschen zusätzlich	225	
eine bisschen Abschied	225	
eine bisschen misstrauisch	224	
eine bisschen Feuer	224	
eine bisschen Energie	223	
eine bisschen schüchtern	222	
eine bisschen niedrig	222	
eine bisschen kindisch	222	
eine bisschen Gedanke	222	
eine bisschen wackelig	221	
eine bisschen unlogisch	221	
eine bisschen sauber	220	
eine bisschen überrascht	219	
eine bisschen paranoid	218	
eine bisschen mutig	218	
eine bisschen holprig	218	
eine bisschen einseitig	218	
eine bisschen unscharf	216	
eine bisschen Hirn	216	
eine bisschen Chaos	216	
eine bisschen lästig	213	
eine bisschen überraschend	212	
eine bisschen wütend	212	
eine bisschen komplex	212	
eine bisschen süß	209	
eine bisschen Pflege	209	
eine bisschen Freiheit	209	
eine bisschen Milch	208	
eine bisschen Staub	207	
eine bisschen arm	205	
eine bisschen voreilig	204	
eine bisschen romantisch	204	
eine bisschen grob	204	
eine bisschen suspekt	203	
eine bisschen unrealistisch	202	
eine bisschen melancholisch	201	
eine bisschen hektisch	201	
eine bisschen gaga	200	
eine bisschen eintönig	200	
eine bisschen absurd	200	
eine bisschen Sinn	198	
eine bisschen rauh	197	
eine bisschen hübsch	197	
eine bisschen verständlich	196	
eine bisschen träge	196	
eine bisschen Magie	196	
eine bisschen bescheuert	195	
eine bisschen Suche|Suchen	195	
eine bisschen Gemüse	195	
eine bisschen missverständlich	194	
eine bisschen Grip	194	
eine bisschen handwerklich	192	
eine bisschen bekloppt	191	
eine bisschen Toleranz	191	
eine bisschen flach	190	
eine bisschen dreist	189	
eine bisschen Schwierigkeit	189	
eine bisschen Show	187	
eine bisschen unklar	186	
eine bisschen Taschengeld	186	
eine bisschen Hintergrundwissen	186	
eine bisschen englisch	185	
eine bisschen störend	184	
eine bisschen plötzlich	184	
eine bisschen besorgt	182	
eine bisschen technisch	181	
eine bisschen dreckig	181	
eine bisschen braun	181	
eine bisschen aggressiv	181	
eine bisschen Verspätung	181	
eine bisschen Risiko	181	
eine bisschen Lust	181	
eine bisschen Statistik	179	
eine bisschen Spielraum	179	
eine bisschen Gold	179	
eine bisschen sinnlos	178	
eine bisschen modern	178	
eine bisschen Honig	178	
eine bisschen windig	177	
eine bisschen optimistisch	177	
eine bisschen Sightseeing	175	
eine bisschen Schatten	175	
eine bisschen Brot	175	
eine Bisschen (unknown)	175	
eine bisschen ungerecht	174	
eine bisschen negativ	174	
eine bisschen Kleinkram	174	
eine bisschen Technik	173	
eine bisschen Talent	173	
eine bisschen zynisch	172	
eine bisschen riskant	172	
eine bisschen Spiel	172	
eine bisschen Planung	172	
eine bisschen zurückhaltend	171	
eine bisschen weiß	171	
eine bisschen unterschiedlich	171	
eine bisschen blau	171	
eine bisschen Fernsehen	171	
eine bisschen fett	170	
eine bisschen fad	170	
eine bisschen Schadenfreude	170	
eine bisschen Heimweh	170	
eine bisschen Bildung	170	
eine bisschen bitter	169	
eine bisschen sprachlos	168	
eine bisschen schlapp	168	
eine bisschen Rock	168	
eine bisschen unwohl	167	
eine bisschen Nostalgie	167	
eine bisschen Frust	167	
eine bisschen übersichtlicher	166	
eine bisschen still	166	
eine bisschen Spanisch	166	
eine bisschen Krieg	166	
eine bisschen Disziplin	166	
eine bisschen Anerkennung	166	
eine bisschen sentimental	165	
eine bisschen Tempo	165	
eine bisschen übel	163	
eine bisschen ungeschickt	163	
eine bisschen ungeduldig	163	
eine bisschen spanisch	162	
eine bisschen kräftig	162	
eine bisschen Party	162	
eine bisschen Gitarre	162	
eine bisschen verwirrt	161	
eine bisschen knifflig	161	
eine bisschen heikel	161	
eine bisschen grau	161	
eine bisschen Info	161	
eine bisschen klug	160	
eine bisschen Holz	160	
eine bisschen unpassend	159	
eine bisschen logisch	159	
eine bisschen politisch	158	
eine bisschen italienisch	158	
eine bisschen Strom	158	
eine bisschen angenehm	157	
eine bisschen unverschämt	156	
eine bisschen irreführend	156	
eine bisschen bequem	156	
eine bisschen Vorbereitung	156	
eine bisschen überheblich	155	
eine bisschen weise	155	
eine bisschen quer	155	
eine bisschen menschlich	155	
eine bisschen Richtung	155	
eine bisschen Butter	155	
eine bisschen makaber	154	
eine bisschen Glanz	154	
eine bisschen Warte|Warten	153	
eine bisschen Frühling	153	
eine bisschen Aufklärung	153	
eine bisschen Verwirrung	152	
eine bisschen Struktur	152	
eine bisschen Stoff	152	
eine bisschen Eigenwerbung	152	
eine bisschen schmal	151	
eine bisschen oberflächlich	151	
eine bisschen Japan	151	
eine bisschen Einblick	151	
eine bisschen steif	150	
eine bisschen Gewalt	150	
eine bisschen ungünstig	149	
eine bisschen unglaubwürdig	149	
eine bisschen speziell	149	
eine bisschen schmutzig	149	
eine bisschen brutal	148	
eine bisschen aufregend	148	
eine bisschen Urlaubsstimmung	148	
eine bisschen Nervenkitzel	148	
eine bisschen Motivation	148	
eine bisschen unverständlich	147	
eine bisschen verwundert	145	
eine bisschen schwammig	144	
eine bisschen provokant	144	
eine bisschen Bauchschmerz	144	
eine bisschen Anstand	144	
eine bisschen langatmig	143	
eine bisschen eitel	143	
eine bisschen Käse	143	
eine bisschen schick	142	
eine bisschen fröhlich	142	
eine bisschen egoistisch	142	
eine bisschen differenzierter	142	
eine bisschen Kontakt	142	
eine bisschen Kitsch	142	
eine bisschen Glamour	141	
eine bisschen Ehrgeiz	141	
eine bisschen überflüssig	140	
eine bisschen wach	140	
eine bisschen mau	140	
eine bisschen Wellness	140	
eine bisschen Senf	140	
eine bisschen Gewicht	140	
eine bisschen schwul	139	
eine bisschen geil	138	
eine bisschen Logik	138	
eine bisschen sensibel	137	
eine bisschen scheu	137	
eine bisschen geheimnisvoll	137	
eine bisschen Schokolade	137	
eine bisschen Material	137	
eine bisschen Lampenfieber	137	
eine bisschen Erfolg	137	
eine bisschen Sonnenschein	136	
eine bisschen Politik	136	
eine bisschen widersprüchlich	134	
eine bisschen erschreckend	134	
eine bisschen Bier	134	
eine bisschen taub	133	
eine bisschen rumgesucht	133	
eine bisschen konfus	133	
eine bisschen Information	133	
eine bisschen dicht	132	
eine bisschen Schmerz	131	
eine bisschen tolerant	130	
eine bisschen kurzfristig	130	
eine bisschen frustrierend	130	
eine bisschen Optimismus	130	
eine bisschen Inspiration	130	
eine bisschen verzweifelt	129	
eine bisschen intelligent	129	
eine bisschen Privatsphäre	129	
eine bisschen blauäugig	128	
eine bisschen Selbstvertrauen	128	
eine bisschen Langeweile	128	
eine bisschen Heu	128	
eine bisschen professionell	127	
eine bisschen beängstigend	127	
eine bisschen Theater	127	
eine bisschen Überwindung	126	
eine bisschen dankbar	126	
eine bisschen Konkurrenz	126	
eine bisschen pummelig	125	
eine bisschen geschickt	125	
eine bisschen exotisch	125	
eine bisschen einfallslos	125	
eine bisschen auffällig	125	
eine bisschen Meer	125	
eine bisschen öde	124	
eine bisschen aufmerksam	124	
eine bisschen Erde	124	
eine bisschen Eifersucht	124	
eine bisschen Bescheid	124	
eine bisschen unbeholfen	123	
eine bisschen pervers	123	
eine bisschen erträglich	123	
eine bisschen abenteuerlich	123	
eine bisschen Wein	123	
eine bisschen Natur	123	
eine bisschen Freiraum	123	
eine bisschen sparsam	122	
eine bisschen allgemein	122	
eine bisschen Routine	122	
eine bisschen Kunst	122	
eine bisschen fragwürdig	121	
eine bisschen Gymnastik	121	
eine bisschen blind	120	
eine bisschen Kosmetik	120	
eine bisschen unbequem	119	
eine bisschen Taktik	119	
eine bisschen Hintergrund	119	
eine bisschen Drama	119	
eine bisschen Anstrengung	119	
eine bisschen pathetisch	118	
eine bisschen doll	118	
eine bisschen Nachsicht	118	
eine bisschen normal	117	
eine bisschen französisch	117	
eine bisschen Verantwortung	117	
eine bisschen Komfort	117	
eine bisschen Jazz	117	
eine bisschen schwindelig	116	
eine bisschen rar	116	
eine bisschen paradox	116	
eine bisschen feige	116	
eine bisschen ernsthaft	116	
eine bisschen dramatisch	116	
eine bisschen Witz	116	
eine bisschen Unruhe	116	
eine bisschen Kind	116	
eine bisschen Hunger	116	
eine bisschen sozial	115	
eine bisschen reif	115	
eine bisschen Salat	115	
eine bisschen schizophren	114	
eine bisschen extra	114	
eine bisschen Niveau	114	
eine bisschen Deko	114	
eine bisschen sexy	113	
eine bisschen fein	113	
eine bisschen ehrlich	113	
eine bisschen Zubehör	113	
eine bisschen ungenau	112	
eine bisschen tot	112	
eine bisschen Wahnsinn	112	
eine bisschen erwachsener	111	
eine bisschen weltfremd	110	
eine bisschen stur	110	
eine bisschen künstlich	110	
eine bisschen flüssig	110	
eine bisschen Feintuning	110	
eine bisschen nostalgisch	109	
eine bisschen Rauch	109	
eine bisschen Plastik	109	
eine bisschen Nervosität	108	
eine bisschen Macht	108	
eine bisschen Essen	108	
eine bisschen Einfluss	108	
eine bisschen Distanz	108	
eine bisschen unschlüssig	107	
eine bisschen süchtig	107	
eine bisschen sympathisch	107	
eine bisschen gelb	107	
eine bisschen fleißig	107	
eine bisschen Pfeffer	107	
eine bisschen Leistung	107	
eine bisschen weihnachtlich	106	
eine bisschen vernünftig	106	
eine bisschen objektiv	106	
eine bisschen individuell	106	
eine bisschen Speck	106	
eine bisschen Schutz	106	
eine bisschen Heimat	106	
eine bisschen Fieber	106	
eine bisschen mickrig	105	
eine bisschen Kondition	105	
eine bisschen Intelligenz	105	
eine bisschen Folter	105	
eine bisschen Erziehung	105	
eine bisschen steil	104	
eine bisschen spießig	104	
eine bisschen sachlich	104	
eine bisschen präzise	104	
eine bisschen konservativ	104	
eine bisschen emotional	104	
eine bisschen Gänsehaut	104	
eine bisschen Sehnsucht	103	
eine bisschen Punk	103	
eine bisschen unzufrieden	102	
eine bisschen rockig	102	
eine bisschen richtig	102	
eine bisschen Gegenwind	102	
eine bisschen Demut	102	
eine bisschen rumgelesen	101	
eine bisschen berühmt	101	
eine bisschen Spiel|Spielen	101	
eine bisschen Papier	101	
eine bisschen Land	101	
eine bisschen Haut	101	
eine bisschen Französisch	101	
eine bisschen gerecht	100	
eine bisschen gegenseitig	100	
eine bisschen Wut	100	
eine bisschen Shopping	100	
eine bisschen clever	99	
eine bisschen Schuld	99	
eine bisschen sperrig	98	
eine bisschen größenwahnsinnig	98	
eine bisschen differenziert	98	
eine bisschen Raum	98	
eine bisschen Power	98	
eine bisschen Halt	98	
eine bisschen Überlegung	97	
eine bisschen pingelig	97	
eine bisschen echt	97	
eine bisschen Skepsis	97	
eine bisschen Feingefühl	97	
eine bisschen Bauchweh	97	
eine bisschen offensiv	96	
eine bisschen hässlich	96	
eine bisschen abstrakt	96	
eine bisschen Vorfreude	96	
eine bisschen irritierend	95	
eine bisschen Streit	95	
eine bisschen Physik	95	
eine bisschen Mehl	95	
eine bisschen Mathematik	95	
eine bisschen vergleichbar	94	
eine bisschen polemisch	94	
eine bisschen gelassener	94	
eine bisschen bewusst	94	
eine bisschen Handarbeit	94	
eine bisschen japanisch	93	
eine bisschen gleich	93	
eine bisschen flau	93	
eine bisschen anspruchsvoll	93	
eine bisschen altbacken	93	
eine bisschen Flexibilität	93	
eine bisschen Einsatz	93	
eine bisschen simpel	92	
eine bisschen ruppig	92	
eine bisschen kurios	92	
eine bisschen häufig	92	
eine bisschen bange	92	
eine bisschen Verlust	92	
eine bisschen wahnsinnig	91	
eine bisschen radikal	91	
eine bisschen fit	91	
eine bisschen bescheiden	91	
eine bisschen Schaden	91	
eine bisschen Rost	91	
eine bisschen voreingenommen	90	
eine bisschen privat	90	
eine bisschen anspruchsvoller	90	
eine bisschen Zuspruch	90	
eine bisschen Selbstironie	90	
eine bisschen Sahne	90	
eine bisschen Reis	90	
eine bisschen Mitgefühl	90	
eine bisschen Lärm	90	
eine bisschen Kaffee	90	
eine bisschen Google	90	
eine bisschen skurril	89	
eine bisschen gering	89	
eine bisschen fertig	89	
eine bisschen depressiv	89	
eine bisschen Trockenfutter	89	
eine bisschen Pop	89	
eine bisschen Herz	89	
eine bisschen Fell	89	
eine bisschen stabil	88	
eine bisschen Geschmack	88	
eine bisschen Gerechtigkeit	88	
eine bisschen Bodenarbeit	88	
eine bisschen unpraktisch	87	
eine bisschen sonderbar	87	
eine bisschen russisch	87	
eine bisschen Shoppen	87	
eine bisschen Schminke	87	
eine bisschen Glückssache	87	
eine bisschen krumm	86	
eine bisschen konstruktiv	86	
eine bisschen komfortabel	86	
eine bisschen international	86	
eine bisschen glatt	86	
eine bisschen erfolgreich	86	
eine bisschen Zweifel	86	
eine bisschen Würde	86	
eine bisschen Sommer	86	
eine bisschen Enttäuschung	86	
eine bisschen Eingewöhnungszeit	86	
eine bisschen Abkühlung	86	
eine bisschen reich	85	
eine bisschen lieblos	85	
eine bisschen edel	85	
eine bisschen detailliert	85	
eine bisschen blutig	85	
eine bisschen Zufall	85	
eine bisschen Olivenöl	85	
eine bisschen Menschlichkeit	85	
eine bisschen Hilfestellung	85	
eine bisschen HTML	85	
eine bisschen Engagement	85	
eine bisschen verwunderlich	84	
eine bisschen verloren	84	
eine bisschen runder	84	
eine bisschen heil	84	
eine bisschen drastisch	84	
eine bisschen amerikanisch	84	
eine bisschen abwechslungsreich	84	
eine bisschen abhängig	84	
eine bisschen Ruhm	84	
eine bisschen Puder	84	
eine bisschen PR	84	
eine bisschen Kopfschmerz	84	
eine bisschen Klavier	84	
eine bisschen Grundwissen	84	
eine bisschen Durchfall	84	
eine bisschen schäbig	83	
eine bisschen kniffelig	83	
eine bisschen kahl	83	
eine bisschen geduldig	83	
eine bisschen Selbstbewusstsein	83	
eine bisschen Internet	83	
eine bisschen Elektronik	83	
eine bisschen Benzin	83	
eine bisschen Ausdauer	83	
eine bisschen verrückter	82	
eine bisschen schlampig	82	
eine bisschen fair	82	
eine bisschen eilig	82	
eine bisschen derb	82	
eine bisschen Wille	82	
eine bisschen Sarkasmus	82	
eine bisschen Realismus	82	
eine bisschen Polemik	82	
eine bisschen Literatur	82	
eine bisschen verfrüht	81	
eine bisschen sanft	81	
eine bisschen elegant	81	
eine bisschen attraktiv	81	
eine bisschen Trab	81	
eine bisschen Normalität	81	
eine bisschen mild	80	
eine bisschen lebendig	80	
eine bisschen egal	80	
eine bisschen Werkzeug	80	
eine bisschen Surfen	80	
eine bisschen Quatsch	80	
eine bisschen Losglück	80	
eine bisschen Krafttraining	80	
eine bisschen Herzklopfen	80	
eine bisschen Code	80	
eine bisschen Atmosphäre	80	
eine bisschen Überzeugungsarbeit	79	
eine bisschen zufrieden	79	
eine bisschen ungemütlich	79	
eine bisschen schwerfällig	79	
eine bisschen schlank	79	
eine bisschen dezent	79	
eine bisschen aufdringlich	79	
eine bisschen Provokation	79	
eine bisschen Kontrolle	79	
eine bisschen Feinschliff	79	
eine bisschen vertraut	78	
eine bisschen unnötig	78	
eine bisschen sarkastisch	78	
eine bisschen rumgeschaut	78	
eine bisschen nackt	78	
eine bisschen herb	78	
eine bisschen gewagt	78	
eine bisschen Lebenserfahrung	78	
eine bisschen Bargeld	78	
eine bisschen praktisch	77	
eine bisschen ordentlich	77	
eine bisschen hysterisch	77	
eine bisschen abergläubisch	77	
eine bisschen Zurückhaltung	77	
eine bisschen Widerstand	77	
eine bisschen Vernunft	77	
eine bisschen Unterricht	77	
eine bisschen Stil	77	
eine bisschen Fummelei	77	
eine bisschen übermütig	76	
eine bisschen körperlich	76	
eine bisschen gemeinsam	76	
eine bisschen Stroh	76	
eine bisschen Story	76	
eine bisschen Schmuck	76	
eine bisschen Reserve	76	
eine bisschen Nebel	76	
eine bisschen Horror	76	
eine bisschen wahr	75	
eine bisschen schusselig	75	
eine bisschen konsequent	75	
eine bisschen großzügiger	75	
eine bisschen bedenklich	75	
eine bisschen anmaßend	75	
eine bisschen Reklame	75	
eine bisschen Objektivität	75	
eine bisschen Mord	75	
eine bisschen Konzentration	75	
eine bisschen Grünzeug	75	
eine bisschen Freundschaft	75	
eine bisschen Demokratie	75	
eine bisschen Blödsinn	75	
eine bisschen unschön	74	
eine bisschen undeutlich	74	
eine bisschen provokativ	74	
eine bisschen plump	74	
eine bisschen mysteriös	74	
eine bisschen eckig	74	
eine bisschen Traum	74	
eine bisschen Spielzeug	74	
eine bisschen Publicity	74	
eine bisschen Mathe	74	
eine bisschen Kopfzerbrechen	74	
eine bisschen Input	74	
eine bisschen Feuchtigkeit	74	
eine bisschen Erleichterung	74	
eine bisschen umfangreich	73	
eine bisschen mollig	73	
eine bisschen mies	73	
eine bisschen kleinlich	73	
eine bisschen deprimierend	73	
eine bisschen außergewöhnlich	73	
eine bisschen Melancholie	73	
eine bisschen Klatsch	73	
eine bisschen Haushalt	73	
eine bisschen vorhersehbar	72	
eine bisschen trotzig	72	
eine bisschen mystisch	72	
eine bisschen entfernt	72	
eine bisschen direkt	72	
eine bisschen bieder	72	
eine bisschen Selbstkritik	72	
eine bisschen Aktion	72	
eine bisschen unsauber	71	
eine bisschen unhöflich	71	
eine bisschen satt	71	
eine bisschen leichtsinnig	71	
eine bisschen historisch	71	
eine bisschen belesen	71	
eine bisschen Tee	71	
eine bisschen Realität	71	
eine bisschen Muskelkater	71	
eine bisschen Fitness	71	
eine bisschen verpeilt	70	
eine bisschen verdutzt	70	
eine bisschen theoretisch	70	
eine bisschen schwindlig	70	
eine bisschen matt	70	
eine bisschen licht	70	
eine bisschen gespannt	70	
eine bisschen Zärtlichkeit	70	
eine bisschen Tiefe	70	
eine bisschen Individualität	70	
eine bisschen Gewinn	70	
eine bisschen Geschwindigkeit	70	
eine bisschen vergesslich	69	
eine bisschen undurchsichtig	69	
eine bisschen schmuddelig	69	
eine bisschen nachsichtig	69	
eine bisschen ekelig	69	
eine bisschen alternativ	69	
eine bisschen aktuell	69	
eine bisschen Spielerei	69	
eine bisschen Saft	69	
eine bisschen Krach	69	
eine bisschen Fisch	69	
eine bisschen Bauch	69	
eine bisschen Auswahl	69	
eine bisschen Aufmunterung	69	
eine bisschen wohl	68	
eine bisschen unsinnig	68	
eine bisschen schuldig	68	
eine bisschen real	68	
eine bisschen nachlässig	68	
eine bisschen geschockt	68	
eine bisschen anderst	68	
eine bisschen Organisation	68	
eine bisschen Mist	68	
eine bisschen Lese|Lesen	68	
eine bisschen Lesestoff	68	
