# Frequency list

# Corpus: decow16b
# Query:  "[eE]in" "[bB]i(ss|ß)chen" [tag="ADJ.*|N.*"] 548922

# Frequency limit: 0


Token	Frequency	
ein bißchen lang	138	
ein bisschen plötzlich	138	
ein bisschen absurd	138	
ein bisschen Heimweh	138	
ein bißchen nervös	137	
ein bisschen sprachlos	136	
ein bisschen komplexer	136	
ein bisschen Vorsicht	136	
ein bisschen Spanisch	136	
ein bisschen Pflege	136	
Ein bisschen Hoffnung	136	
ein bißchen langsamer	135	
ein bisschen sinnlos	135	
ein bisschen Lust	135	
ein bißchen schwieriger	134	
ein bisschen schärfer	134	
ein bisschen kälter	134	
ein bisschen besorgt	134	
ein bisschen Fernsehen	134	
ein bisschen Hintergrundwissen	133	
ein bißchen schwerer	132	
ein bisschen weiter	132	
ein bisschen kühl	132	
ein bisschen Tempo	132	
ein bisschen Suchen	132	
ein bisschen Eigeninitiative	132	
ein bisschen träge	131	
ein bisschen ruhig	131	
ein bisschen frei	131	
ein bisschen Spielraum	131	
ein bisschen Schwierigkeiten	131	
ein bisschen Magie	131	
ein bisschen Hirn	131	
Ein bisschen besser	131	
ein bisschen missverständlich	130	
ein bisschen guten	130	
ein bisschen fad	130	
Ein bisschen Mut	130	
ein bisschen schüchtern	129	
ein bisschen dünner	129	
Ein bisschen aufgeregt	129	
ein bißchen Pech	128	
ein bisschen Warten	128	
ein bisschen zynisch	127	
ein bisschen ungerecht	127	
ein bisschen niedriger	127	
ein bisschen bekannter	127	
ein bisschen unpassend	126	
ein bisschen kompliziert	126	
ein bisschen dreckig	126	
ein bisschen arm	126	
ein bisschen Party	126	
ein bisschen Gitarre	125	
ein bißchen groß	124	
ein bisschen ungeschickt	124	
ein bisschen sentimental	124	
ein bisschen romantisch	124	
Ein bisschen Geld	124	
ein bisschen irreführend	123	
ein bisschen angenehmer	123	
ein bißchen knapp	122	
ein bisschen ungeduldig	122	
ein bisschen englisch	122	
ein bisschen Spiel	122	
ein bisschen Planung	122	
ein bisschen Gold	122	
ein bißchen Druck	121	
ein bisschen unterschiedlich	121	
ein bisschen zurückhaltend	120	
ein bisschen unverschämt	120	
ein bisschen quer	120	
ein bisschen makaber	120	
ein bisschen bitter	120	
ein bisschen abwechslung	120	
ein bisschen Rock	120	
ein bisschen Brot	120	
ein bißchen hart	119	
ein bisschen schlapp	119	
ein bisschen riskant	119	
ein bisschen Disziplin	119	
ein bisschen Abschied	119	
ein bißchen Bewegung	118	
ein bisschen mutiger	118	
ein bisschen gemütlicher	118	
ein bißchen einfacher	117	
ein bißchen Liebe	117	
ein bisschen unverständlich	117	
ein bisschen negativ	117	
ein bisschen cooler	117	
ein bisschen Kleinkram	117	
ein bisschen Honig	117	
ein bisschen Anerkennung	117	
ein bißchen lauter	116	
ein bißchen Leben	116	
ein bisschen windig	116	
ein bisschen heikel	116	
ein bisschen heftiger	116	
ein bisschen grüner	116	
ein bisschen grob	116	
ein bisschen freier	116	
ein bisschen erwachsener	116	
ein bisschen Strom	116	
ein bißchen falsch	115	
ein bisschen taub	115	
ein bisschen flexibel	115	
ein bisschen aktiver	115	
ein bisschen Käse	115	
ein bisschen Holz	115	
Ein bisschen nervös	115	
ein bißchen schlecht	114	
ein bißchen naiv	114	
ein bißchen lächerlich	114	
ein bisschen überheblich	114	
ein bisschen hilfe	114	
ein bisschen Struktur	114	
ein bisschen Show	114	
ein bißchen hoch	113	
ein bisschen unglaubwürdig	113	
ein bisschen rumgesucht	113	
ein bisschen realistischer	113	
ein bisschen mau	113	
ein bisschen braun	113	
ein bisschen langatmig	112	
ein bisschen Risiko	112	
ein bisschen ungünstig	111	
ein bisschen schwammig	111	
ein bisschen gemütlich	111	
ein bisschen Glanz	111	
Ein bisschen Luxus	111	
ein bißchen komplizierter	110	
ein bisschen übel	110	
ein bisschen werbung	110	
ein bisschen unwohl	110	
ein bisschen bessere	110	
ein bisschen Aufklärung	110	
Ein bisschen wehmütig	110	
ein bisschen überflüssig	109	
ein bisschen Frust	109	
ein bisschen Butter	109	
ein bißchen stärker	108	
ein bißchen albern	108	
ein bisschen tricky	108	
ein bisschen störend	108	
ein bisschen Wellness	108	
ein bisschen Technik	108	
Ein bisschen seltsam	108	
Ein bisschen Bewegung	108	
ein bisschen too	107	
ein bisschen oberflächlich	107	
ein bisschen moderner	107	
ein bisschen kräftiger	107	
ein bisschen klüger	107	
ein bisschen Stoff	107	
ein bisschen Bildung	107	
ein bißchen ratlos	106	
ein bißchen kürzer	106	
ein bisschen spanisch	106	
ein bisschen laenger	106	
ein bisschen Vorbereitung	106	
ein bisschen Schwund	106	
ein bißchen sauer	105	
ein bisschen sauber	105	
ein bisschen lieber	105	
ein bisschen Nervenkitzel	105	
ein bisschen Motivation	105	
Ein bisschen Übung	105	
ein bisschen leicht	104	
Ein bisschen neidisch	104	
ein bißchen lockerer	103	
ein bißchen langsam	103	
ein bißchen heftig	103	
ein bisschen wichtiger	103	
ein bisschen interessant	103	
ein bisschen gaga	103	
ein bisschen Schadenfreude	103	
ein bisschen Material	103	
Ein bisschen Spannung	103	
Ein bisschen Abschied	103	
ein bisschen wichtig	102	
ein bisschen voller	102	
ein bisschen runder	102	
ein bisschen knifflig	102	
ein bisschen Inspiration	102	
ein bisschen strenger	101	
ein bisschen düster	101	
ein bisschen Schokolade	101	
Ein bißchen Zeit	101	
Ein bisschen Farbe	101	
ein bißchen Probleme	100	
ein bißchen Kohle	100	
ein bisschen voll	100	
ein bisschen leise	100	
ein bisschen fummelig	100	
ein bisschen erträglicher	100	
ein bisschen erschreckend	100	
ein bisschen Toleranz	100	
ein bißchen heller	99	
ein bißchen dünn	99	
ein bisschen widersprüchlich	99	
ein bisschen schwindelig	99	
ein bisschen Richtung	99	
ein bisschen Erfolg	99	
ein bisschen Eigenwerbung	99	
Ein bisschen Urlaubsstimmung	99	
ein bisschen scheu	98	
ein bisschen fett	98	
ein bisschen Bier	98	
ein bisschen off-topic	97	
ein bisschen blauäugig	97	
ein bisschen Wein	97	
ein bisschen Sonnenschein	97	
ein bisschen Salat	97	
ein bisschen Einblick	97	
Ein bisschen verrückt	97	
Ein bisschen peinlich	97	
ein bißchen Öl	96	
ein bißchen verwirrend	96	
ein bisschen fitter	96	
ein bisschen einfallslos	96	
ein bisschen anspruchsvoller	96	
ein bisschen Verwirrung	96	
ein bisschen Senf	96	
ein bisschen Selbstvertrauen	96	
ein bisschen Frühling	96	
ein bißchen unsicher	95	
ein bißchen klarer	95	
ein bisschen öde	95	
ein bisschen spass	95	
ein bisschen scharf	95	
ein bisschen frustrierend	95	
ein bisschen Routine	95	
ein bisschen Logik	95	
ein bißchen Schnee	94	
ein bisschen gegooglet	94	
ein bisschen fragwürdig	94	
ein bisschen beängstigend	94	
ein bisschen Nostalgie	94	
ein bisschen Krieg	94	
ein bisschen Erde	94	
ein bisschen Überwindung	93	
ein bisschen wilder	93	
ein bisschen schmutzig	93	
Ein bißchen schade	93	
ein bißchen unglücklich	92	
ein bißchen Sport	92	
ein bisschen unbeholfen	92	
ein bisschen konfus	92	
ein bisschen googeln	92	
ein bisschen eigen	92	
ein bisschen Gewicht	92	
ein bisschen Freiraum	92	
ein bißchen warm	91	
ein bißchen umständlich	91	
ein bißchen Bammel	91	
ein bisschen schwul	91	
ein bisschen paradox	91	
ein bisschen Witz	91	
ein bisschen Kontakt	91	
ein bisschen Heu	91	
ein bisschen Glamour	91	
ein bißchen nervig	90	
ein bißchen mulmig	90	
ein bisschen süchtig	90	
ein bisschen pathetisch	90	
ein bisschen gute	90	
ein bisschen gelassener	90	
ein bisschen feige	90	
ein bisschen egoistisch	90	
ein bisschen Ehrgeiz	90	
ein bisschen Bauchschmerzen	90	
ein bisschen Anstrengung	90	
ein bißchen Geschick	89	
ein bißchen Freude	89	
ein bisschen relaxen	89	
ein bisschen positiver	89	
ein bisschen Theater	89	
Ein bisschen nervig	89	
Ein bisschen Schwund	89	
ein bißchen Unterstützung	88	
ein bisschen verzweifelt	88	
ein bisschen verrückter	88	
ein bisschen provokant	88	
ein bisschen professioneller	88	
ein bisschen bunt	88	
ein bisschen brutal	88	
ein bisschen Privatsphäre	88	
ein bisschen Anstand	88	
Ein bisschen länger	88	
ein bißchen schwach	87	
ein bißchen Stolz	87	
ein bisschen pummelig	87	
ein bisschen kritischer	87	
ein bisschen geil	87	
ein bisschen eitel	87	
ein bisschen Unruhe	87	
Ein bisschen merkwürdig	87	
ein bißchen neugierig	86	
ein bißchen lustig	86	
ein bisschen verständlicher	86	
ein bisschen unschlüssig	86	
ein bisschen hübscher	86	
ein bisschen heiß	86	
ein bisschen geheimnisvoll	86	
ein bisschen Statistik	86	
ein bisschen Natur	86	
ein bisschen Macht	86	
ein bisschen Langeweile	86	
ein bisschen Hunger	86	
ein bißchen härter	85	
ein bißchen Sorge	85	
ein bißchen Ordnung	85	
ein bisschen lieb	85	
ein bisschen kurzfristig	85	
ein bisschen grau	85	
ein bisschen aggressiv	85	
ein bisschen Zubehör	85	
ein bisschen Off-Topic	85	
ein bisschen Drama	85	
Ein bisschen Bammel	85	
ein bißchen vorsichtiger	84	
ein bißchen Wärme	84	
ein bißchen OT	84	
ein bisschen tief	84	
ein bisschen sportlich	84	
ein bisschen schizophren	84	
ein bisschen realistisch	84	
ein bisschen off	84	
ein bisschen flexibler	84	
ein bisschen erfahrung	84	
ein bisschen Gewalt	84	
ein bisschen reifer	83	
ein bisschen pervers	83	
ein bisschen extra	83	
ein bisschen Jazz	83	
Ein bißchen Glück	83	
ein bißchen anstrengend	82	
ein bißchen Wehmut	82	
ein bisschen verwirrt	82	
ein bisschen ungenau	82	
ein bisschen rumgelesen	82	
ein bisschen bekannt	82	
ein bisschen aufwendig	82	
ein bisschen Politik	82	
ein bisschen Kitsch	82	
ein bisschen Halt	82	
Ein bisschen Stolz	82	
ein bißchen Verständnis	81	
ein bisschen schlechtes	81	
ein bisschen kreativer	81	
ein bisschen bammel	81	
ein bisschen Taktik	81	
ein bisschen Konkurrenz	81	
ein bisschen Deko	81	
Ein bisschen blöd	81	
ein bißchen verrückt	80	
ein bißchen schöner	80	
ein bißchen Gas	80	
ein bisschen süß	80	
ein bisschen nostalgisch	80	
ein bisschen lustiger	80	
ein bisschen fröhlicher	80	
ein bisschen dankbar	80	
ein bisschen aktiv	80	
ein bisschen Plastik	80	
Ein bisschen Sorgen	80	
ein bißchen ähnlich	79	
ein bißchen wehmütig	79	
ein bißchen rot	79	
ein bißchen böse	79	
ein bisschen toleranter	79	
ein bisschen sexy	79	
ein bisschen arbeit	79	
ein bisschen Haut	79	
ein bisschen Gymnastik	79	
ein bißchen billiger	78	
ein bißchen Regen	78	
ein bißchen Blut	78	
ein bisschen weltfremd	78	
ein bisschen speziell	78	
ein bisschen schicker	78	
ein bisschen rar	78	
ein bisschen pingelig	78	
ein bisschen dichter	78	
ein bisschen besseres	78	
ein bisschen Nachsicht	78	
ein bisschen Lampenfieber	78	
Ein bisschen unheimlich	78	
ein bißchen schlechter	77	
ein bißchen kalt	77	
ein bißchen einfach	77	
ein bißchen Respekt	77	
ein bißchen Flattr-Love	77	
ein bisschen überrascht	77	
ein bisschen voreingenommen	77	
ein bisschen optimistisch	77	
ein bisschen aufwendiger	77	
ein bisschen Papier	77	
ein bisschen Kunst	77	
ein bisschen Kind	77	
Ein bisschen Sport	77	
ein bißchen Wind	76	
ein bißchen Spass	76	
ein bißchen Aufmerksamkeit	76	
ein bisschen weiser	76	
ein bisschen meno	76	
ein bisschen klar	76	
ein bisschen flacher	76	
ein bisschen düsterer	76	
ein bisschen detaillierter	76	
ein bisschen blind	76	
ein bisschen auffällig	76	
ein bisschen Spielen	76	
ein bisschen Shopping	76	
Ein bisschen genauer	76	
ein bißchen krank	75	
ein bisschen positiv	75	
ein bisschen künstlich	75	
ein bisschen Rauch	75	
ein bisschen Komfort	75	
ein bisschen Französisch	75	
ein bisschen Essen	75	
Ein bisschen überrascht	75	
Ein bisschen Ruhe	75	
ein bißchen schnell	74	
ein bißchen ausführlicher	74	
ein bisschen sauberer	74	
ein bisschen intelligenter	74	
ein bisschen berühmt	74	
ein bisschen abenteuerlich	74	
ein bisschen Schaden	74	
ein bisschen Power	74	
ein bisschen Pfeffer	74	
ein bisschen Heimat	74	
ein bisschen Feintuning	74	
Ein bisschen OT	74	
Ein bisschen Liebe	74	
ein bißchen mager	73	
ein bißchen frische	73	
ein bißchen frech	73	
ein bißchen Kritik	73	
ein bißchen Action	73	
ein bisschen unzufrieden	73	
ein bisschen unbequem	73	
ein bisschen respekt	73	
ein bisschen lieblos	73	
ein bisschen Sehnsucht	73	
ein bisschen Schutz	73	
ein bisschen Optimismus	73	
ein bisschen Kosmetik	73	
ein bisschen Fieber	73	
ein bisschen Einsatz	73	
ein bisschen Distanz	73	
Ein bisschen Respekt	73	
ein bisschen stur	72	
ein bisschen hübsch	72	
ein bisschen googlen	72	
ein bisschen extremer	72	
ein bisschen ernst	72	
ein bisschen Shoppen	72	
ein bisschen Reis	72	
ein bisschen Raum	72	
ein bisschen Gänsehaut	72	
Ein bisschen Kritik	72	
Ein bisschen Erfahrung	72	
Ein bisschen Eigeninitiative	72	
Ein bisschen Arbeit	72	
ein bißchen schief	71	
ein bisschen Wut	71	
ein bisschen Verantwortung	71	
ein bisschen Speck	71	
ein bisschen Kondition	71	
ein bisschen Intelligenz	71	
ein bisschen HTML	71	
ein bisschen Glückssache	71	
Ein bisschen größer	71	
Ein bisschen Sonne	71	
ein bißchen dick	70	
ein bißchen Schlaf	70	
ein bißchen Englisch	70	
ein bisschen steif	70	
ein bisschen egal	70	
ein bisschen blau	70	
ein bisschen aufregend	70	
ein bisschen Rost	70	
ein bisschen Punk	70	
ein bisschen Kopfschmerzen	70	
ein bisschen Einfluss	70	
ein bißchen dicker	69	
ein bißchen Frieden	69	
ein bisschen sperrig	69	
ein bisschen offtopic	69	
